differential,release_year,genre,type,weeks_on_billboard,peak_billboard_position,spotify_popularity,artist_member_count,artist_gender,artist_birth_year_sum,debut_album_release_year,ave_age_at_top_500,years_between
-55,1965,Punk/Post-Punk/New Wave/Power Pop,Studio,38,6,54,5,Male,9717,1965,21.6,0
-158,1965,Blues/Blues Rock,Live,8,78,38,1,Male,1925,1956,40,9
-196,1965,Punk/Post-Punk/New Wave/Power Pop,Studio,50,4,38,5,Male,9715,1962,22,3
-387,1965,Blues/Blues Rock,Studio,65,1,69,5,Male,9705,1964,24,1
-320,1965,Blues/Blues Rock,Studio,53,5,43,5,Male,9705,1964,24,1
-265,1965,Blues/Blues Rock,Studio,64.27097902097903,201,56,4,Male,7779,1965,20.25,0
-148,1965,Blues/Blues Rock,Studio,33,53,48,5,Male,9718,1964,21.4,1
-25,1965,Blues/Blues Rock,Studio,6,136,36,6,Male,11642,1965,24.66666667,0
0,1966,Punk/Post-Punk/New Wave/Power Pop,Studio,40,10,62,6,Male,11657,1962,23.16666667,4
-8,1966,Punk/Post-Punk/New Wave/Power Pop,Studio,94,1,73,4,Male,7765,1963,24.75,3
484,2010,Hip-Hop/Rap,Studio,243,1,85,1,Male,1977,2004,33,6
-29,1966,Country/Folk/Country Rock/Folk Rock,Studio,34,9,54,1,Male,1941,1962,25,4
482,2015,Hip-Hop/Rap,Studio,125,1,78,1,Male,1987,2011,28,4
-222,1966,Blues/Blues Rock,Studio,50,2,74,5,Male,9705,1964,25,2
-197,1966,Soul/Gospel/R&B,Studio,15,73,33,1,Male,1941,1964,25,2
-400,1966,Blues/Blues Rock,Studio,92,39,56,3,Male,5827,1966,23.66666667,0
-306,1966,Blues/Blues Rock,Studio,64.27097902097903,201,47,4,Male,7763,1966,25.25,0
-300,1966,Country/Folk/Country Rock/Folk Rock,Studio,145,4,63,2,Male,3882,1964,25,2
-258,1966,Punk/Post-Punk/New Wave/Power Pop,Studio,23,130,41,6,Male,11640,1966,26,0
-152,1966,Blues/Blues Rock,Studio,16,52,40,5,Male,9718,1964,22.4,2
-118,1966,Blues/Blues Rock,Studio,21,67,39,4,Male,7779,1965,21.25,1
-141,1966,Soul/Gospel/R&B,Studio,40,8,59,6,Male/Female,11640,1961,26,5
-374,1966,Punk/Post-Punk/New Wave/Power Pop,Studio,105,1,72,4,Male/Female,7760,1966,26,0
70,1967,Soul/Gospel/R&B,Studio,79,2,67,1,Female,1942,1961,25,6
-23,1967,Punk/Post-Punk/New Wave/Power Pop,Studio,233,1,71,4,Male,7765,1963,25.75,4
-15,1967,Blues/Blues Rock,Studio,106,5,69,3,Male,5833,1967,22.66666667,0
-44,1967,Blues/Blues Rock,Studio,104,2,70,4,Male,7772,1967,24,0
-10,1967,Blues/Blues Rock,Studio,3,55,66,3,Male,5833,1967,22.66666667,0
