"","differential","release_year","genre","type","weeks_on_billboard","peak_billboard_position","spotify_popularity","artist_member_count","artist_gender","artist_birth_year_sum","debut_album_release_year","ave_age_at_top_500","years_between"
"98",-8,1966,"Punk/Post-Punk/New Wave/Power Pop","Studio",94,1,73,4,"Male",7765,1963,24.75,3
"99",484,2010,"Hip-Hop/Rap","Studio",243,1,85,1,"Male",1977,2004,33,6
"100",-29,1966,"Country/Folk/Country Rock/Folk Rock","Studio",34,9,54,1,"Male",1941,1962,25,4
"101",482,2015,"Hip-Hop/Rap","Studio",125,1,78,1,"Male",1987,2011,28,4
"102",-222,1966,"Blues/Blues Rock","Studio",50,2,74,5,"Male",9705,1964,25,2
"103",-197,1966,"Soul/Gospel/R&B","Studio",15,73,33,1,"Male",1941,1964,25,2
"104",-400,1966,"Blues/Blues Rock","Studio",92,39,56,3,"Male",5827,1966,23.66666667,0
"105",-306,1966,"Blues/Blues Rock","Studio",64.270979020979,201,47,4,"Male",7763,1966,25.25,0
"106",-300,1966,"Country/Folk/Country Rock/Folk Rock","Studio",145,4,63,2,"Male",3882,1964,25,2
"107",-258,1966,"Punk/Post-Punk/New Wave/Power Pop","Studio",23,130,41,6,"Male",11640,1966,26,0
"108",-152,1966,"Blues/Blues Rock","Studio",16,52,40,5,"Male",9718,1964,22.4,2
"109",-118,1966,"Blues/Blues Rock","Studio",21,67,39,4,"Male",7779,1965,21.25,1
"110",-141,1966,"Soul/Gospel/R&B","Studio",40,8,59,6,"Male/Female",11640,1961,26,5
"111",-374,1966,"Punk/Post-Punk/New Wave/Power Pop","Studio",105,1,72,4,"Male/Female",7760,1966,26,0
"112",70,1967,"Soul/Gospel/R&B","Studio",79,2,67,1,"Female",1942,1961,25,6
"113",-23,1967,"Punk/Post-Punk/New Wave/Power Pop","Studio",233,1,71,4,"Male",7765,1963,25.75,4
"114",-15,1967,"Blues/Blues Rock","Studio",106,5,69,3,"Male",5833,1967,22.66666667,0
"115",-44,1967,"Blues/Blues Rock","Studio",104,2,70,4,"Male",7772,1967,24,0
"116",-10,1967,"Blues/Blues Rock","Studio",3,55,66,3,"Male",5833,1967,22.66666667,0
"117",-58,1967,"Blues/Blues Rock","Studio",83,4,55,3,"Male",5827,1966,24.66666667,1
"118",-140,1967,"Punk/Post-Punk/New Wave/Power Pop","Studio",10,154,47,5,"Male",9725,1966,22,1
"119",94,1967,"Punk/Post-Punk/New Wave/Power Pop","Studio",11,131,47,4,"Male",7776,1967,23,0
"120",-203,1967,"Punk/Post-Punk/New Wave/Power Pop","Studio",23,48,29,4,"Male",7779,1965,22.25,2
"121",-36,1967,"Country/Folk/Country Rock/Folk Rock","Studio",52,2,50,1,"Male",1941,1962,26,5
"122",-190,1967,"Punk/Post-Punk/New Wave/Power Pop","Studio",2,153,13,4,"Male",7778,1964,22.5,3
"123",-380,1967,"Punk/Post-Punk/New Wave/Power Pop","Studio",27,24,32,5,"Male",9717,1967,23.6,0
"124",-377,1967,"Punk/Post-Punk/New Wave/Power Pop","Studio",24,24,45,4,"Male",7773,1965,23.75,2
"125",452,1998,"Hip-Hop/Rap","Studio",43,2,65,2,"Male",3950,1994,23,4
"126",-313,1967,"Punk/Post-Punk/New Wave/Power Pop","Studio",14,44,53,5,"Male",9720,1966,23,1
"127",-303,1967,"Blues/Blues Rock","Greatest Hits",64.270979020979,201,10,1,"Male",1930,1947,37,20
"128",-146,1967,"Blues/Blues Rock","Studio",47,2,56,5,"Male",9705,1964,26,3
"129",-94,1967,"Blues/Blues Rock","Studio",61,3,69,4,"Male",7772,1967,24,0
"130",-27,1967,"Soul/Gospel/R&B","Live",42,32,17,1,"Male",1941,1964,26,3
"131",-17,1967,"Country/Folk/Country Rock/Folk Rock","Studio",4,167,19,1,"Male",1937,1965,30,2
"132",-2,1967,"Blues/Blues Rock","Compilation",64.270979020979,201,43,1,"Male",1923,1962,44,5
"133",-323,1967,"Punk/Post-Punk/New Wave/Power Pop","Greatest Hits",29,6,29,5,"Male",9717,1965,23.6,2
"134",-10,1967,"Punk/Post-Punk/New Wave/Power Pop","Studio",13,171,65,5,"Male/Female",9708,1967,25.4,0
"135",-325,1967,"Punk/Post-Punk/New Wave/Power Pop","Studio",56,3,70,6,"Male/Female",11644,1966,26.33333333,1
"136",9,1968,"Soul/Gospel/R&B","Studio",52,2,63,1,"Female",1942,1961,26,7
"137",-19,1968,"Punk/Post-Punk/New Wave/Power Pop","Studio",55,1,76,4,"Male",7765,1963,26.75,5
"138",1,1968,"Blues/Blues Rock","Studio",1,40,69,3,"Male",5833,1967,23.66666667,1
"139",-41,1968,"Punk/Post-Punk/New Wave/Power Pop","Studio",64.270979020979,201,52,1,"Male",1945,1967,23,1
"140",-66,1968,"Country/Folk/Country Rock/Folk Rock","Studio",40,30,62,5,"Male",9706,1968,26.8,0
"141",-76,1968,"Country/Folk/Country Rock/Folk Rock","Live",81,13,60,1,"Male",1932,1957,36,11
"142",-128,1968,"Blues/Blues Rock","Studio",26,5,67,5,"Male",9705,1964,27,4
"143",-163,1968,"Punk/Post-Punk/New Wave/Power Pop","Studio",95,13,66,5,"Male",9724,1965,23.2,3
"144",-157,1968,"Punk/Post-Punk/New Wave/Power Pop","Studio",10,77,47,4,"Male",7775,1965,24.25,3
"145",-213,1968,"Blues/Blues Rock","Studio",64.270979020979,201,38,1,"Male",1941,1968,27,0
"146",427,2004,"Hip-Hop/Rap","Studio",74,2,79,1,"Male",1977,2004,27,0
"147",-129,1968,"Punk/Post-Punk/New Wave/Power Pop","Studio",64.270979020979,201,47,4,"Male",7778,1964,23.5,4
"148",-340,1968,"Soul/Gospel/R&B","Compilation",42,4,51,1,"Male",1941,1964,27,4
"149",-330,1968,"Punk/Post-Punk/New Wave/Power Pop","Studio",19,47,45,5,"Male",9717,1965,24.6,3
"150",422,2016,"Soul/Gospel/R&B","Studio",354,1,86,1,"Male",1987,2012,29,4
"151",-298,1968,"Blues/Blues Rock","Studio",50,1,62,3,"Male",5827,1966,25.66666667,2
"152",-268,1968,"Country/Folk/Country Rock/Folk Rock","Studio",66,1,68,2,"Male",3882,1964,27,4
"153",-237,1968,"Punk/Post-Punk/New Wave/Power Pop","Studio",55,47,39,8,"Male",15557,1968,23.375,0
"154",-214,1968,"Blues/Blues Rock","Studio",17,87,23,6,"Male",11663,1967,24.16666667,1
"155",-205,1968,"Punk/Post-Punk/New Wave/Power Pop","Studio",19,30,41,8,"Male",15509,1966,29.375,2
"156",-36,1968,"Soul/Gospel/R&B","Greatest Hits",8,122,28,2,"Male",3870,1956,33,12
"157",20,1968,"Punk/Post-Punk/New Wave/Power Pop","Studio",2,199,28,4,"Male/Female",7770,1967,25.5,1
"158",-34,1968,"Blues/Blues Rock","Studio",66,1,61,5,"Male/Female",9707,1967,26.6,1
"159",6,1969,"Soul/Gospel/R&B","Studio",14,99,24,1,"Female",1939,1964,30,5
"160",9,1969,"Punk/Post-Punk/New Wave/Power Pop","Studio",83,1,79,4,"Male",7765,1963,27.75,6
"161",406,2011,"Hip-Hop/Rap","Studio",557,1,84,1,"Male",1986,2010,25,1
"162",-9,1969,"Blues/Blues Rock","Studio",39,3,46,6,"Male",11654,1964,26.66666667,5
"163",-12,1969,"Country/Folk/Country Rock/Folk Rock","Studio",49,9,58,5,"Male",9706,1968,27.8,1
"164",-72,1969,"Hard Rock/Metal","Studio",73,10,53,4,"Male",7786,1969,22.5,0
"165",-48,1969,"Hard Rock/Metal","Studio",75,1,55,4,"Male",7786,1969,22.5,0
"166",-94,1969,"Punk/Post-Punk/New Wave/Power Pop","Studio",126,4,39,4,"Male",7779,1965,24.25,4
"167",199,1969,"Blues/Blues Rock","Studio",3,60,34,4,"Male",7776,1968,25,1
"168",-132,1969,"Rock n' Roll/Rhythm & Blues","Studio",34,13,67,1,"Male",1935,1956,34,13
"169",-55,1969,"Punk/Post-Punk/New Wave/Power Pop","Live",23,30,36,5,"Male",9731,1969,22.8,0
"170",-270,1969,"Punk/Post-Punk/New Wave/Power Pop","Studio",7,164,41,4,"Male",7771,1969,26.25,0
"171",-303,1969,"Punk/Post-Punk/New Wave/Power Pop","Studio",11,106,50,4,"Male",7791,1969,21.25,0
"172",386,2012,"Hip-Hop/Rap","Studio",575,2,76,1,"Male",1987,2011,25,1
"173",-406,1969,"Blues/Blues Rock","Studio",1,88,74,4,"Male",7776,1968,25,1
